date,name,type,distance_km,moving_time,elapsed_time,avg_hr,max_hr,elevation_gain_m,elevation_loss_m,min_elevation_m,max_elevation_m,avg_pace_min_km,calories,training_load,aerobic_training_effect,anaerobic_training_effect,vo2max_estimate
2024-07-18,Copenhagen Running,outdoor,10.9,0:59:13,1:00:03,162.0,178.0,34.2,44.0,-7.2,9.8,5:25,982.0,192.7455596923828,4.300000190734863,0.0,52.0
2024-07-16,Track/Road Reps,treadmill,7.0,0:38:05,0:46:45,157.0,185.0,,,,,5:26,734.0,201.92970275878906,3.799999952316284,2.700000047683716,
2024-07-14,Copenhagen Running,outdoor,16.21,1:29:11,1:30:01,168.0,185.0,56.5,63.9,5.4,19.6,5:30,1466.0,300.66387939453125,5.0,1.5,52.0
2024-07-11,Copenhagen Running,outdoor,8.74,0:58:29,1:00:01,149.0,161.0,13.1,13.1,4.2,12.2,6:41,795.0,71.02496337890625,3.0999999046325684,0.0,52.0
2024-07-09,Copenhagen - Track/Road Reps,outdoor,8.7,0:49:24,0:51:50,161.0,193.0,23.6,22.1,-0.4,4.8,5:40,823.0,295.9835205078125,4.300000190734863,3.9000000953674316,52.0
2024-07-07,Odense Running,outdoor,8.15,0:40:04,0:41:56,173.0,191.0,52.3,46.6,-6.2,6.6,4:55,763.0,283.8716125488281,5.0,2.5999999046325684,53.0
2024-07-04,Furesø Trail Running,outdoor,12.87,1:19:57,1:20:01,158.0,174.0,114.1,113.4,20.2,52.6,6:12,1213.0,147.5655517578125,4.099999904632568,0.0,53.0
2024-06-29,Vordingborg Running,outdoor,7.43,0:39:14,0:40:00,148.0,163.0,52.1,47.3,11.2,33.8,5:16,632.0,87.77166748046875,3.299999952316284,0.0,53.0
2024-06-26,Copenhagen Running,outdoor,10.22,0:59:12,1:00:00,,,70.9,75.4,6.2,31.4,5:47,982.0,28.717300415039062,2.200000047683716,0.0,
2024-06-20,Copenhagen Running,outdoor,5.03,0:25:22,0:25:23,,,25.4,10.4,-3.8,13.4,5:02,469.0,5.857696533203125,0.5,0.0,
2024-06-07,Running,outdoor,3.07,0:16:12,0:16:49,,,14.0,1.1,-4.8,10.6,5:17,293.0,1.2802734375,0.10000000149011612,0.0,
2024-05-21,Antibes Trail Running,outdoor,4.69,0:29:46,0:31:49,,,106.6,102.1,0.8,38.0,6:20,403.0,12.161483764648438,1.2000000476837158,0.0,
2024-05-19,Antibes Running,outdoor,6.7,0:40:40,0:41:21,,,29.6,18.9,1.2,17.4,6:04,615.0,19.547821044921875,1.899999976158142,0.0,
2024-05-16,Copenhagen Running,outdoor,4.61,0:22:56,0:23:06,,,19.2,11.8,0.2,13.8,4:58,425.0,11.042465209960938,1.100000023841858,0.0,
2024-05-13,Copenhagen Running,outdoor,7.6,0:41:15,0:41:35,,,11.9,25.0,-5.2,14.4,5:25,695.0,24.762039184570312,2.0999999046325684,0.0,
2024-05-05,Copenhagen Running,outdoor,42.85,3:44:43,3:46:39,,,74.7,74.2,2.2,15.2,5:14,4026.0,91.59919738769531,3.4000000953674316,0.0,
2024-05-01,Treadmill Running,treadmill,3.06,0:15:00,0:15:01,,,,,,,4:53,297.0,2.8024139404296875,0.20000000298023224,0.0,
2024-04-28,Copenhagen Running,outdoor,10.02,0:47:18,0:48:12,,,49.7,56.4,-0.6,13.2,4:43,935.0,19.682281494140625,1.899999976158142,0.0,
2024-04-25,Copenhagen Running,outdoor,5.01,0:26:00,0:26:22,,,8.2,10.5,13.0,18.8,5:11,456.0,13.762664794921875,1.2999999523162842,0.0,
2024-04-20,Copenhagen Running,outdoor,30.4,2:37:46,2:41:24,,,103.3,101.9,-6.4,18.4,5:11,2878.0,64.17231750488281,3.0,0.0,
2024-04-18,Copenhagen Running,outdoor,8.04,0:40:31,0:40:46,133.0,145.0,15.1,18.4,9.2,19.6,5:02,732.0,37.18486022949219,2.4000000953674316,0.0,
2024-04-13,Copenhagen Running,outdoor,22.0,1:52:36,1:54:31,,,143.5,143.3,0.4,33.4,5:07,2026.0,51.76580810546875,2.700000047683716,0.0,
